NDC,ATC,DRUG,DRUG_NAME_GENERIC
00009005605,H02A,Methylprednisolone,Methylprednisolone
00009338202,J01F,Clindamycin,N/A
00338102341,J01C,Penicillin G Potassium,N/A
00264197800,B05B,Alcohol 10%,N/A
00555044609,L02B,Tamoxifen Citrate,Tamoxifen Citrate
61113045158,C08C,Felodipine,Felodipine
00045025301,N05A,Haloperidol Decanoate,Haloperidol Decanoate
00149003005,M03C,Dantrolene Sodium,Dantrolene Sodium
00065003508,A06A,Glycerin,Glycerin 50%
00074165801,H05B,Paricalcitol,Paricalcitol
00187355510,J02A,Flucytosine,Flucytosine
00173094556,J05A,Acyclovir,Acyclovir
00703407559,M05B,Pamidronate,N/A
00264196210,N/A,Dextran 40 10%,N/A
00049156066,A10B,Glipizide XL,Glipizide XL
00149000905,J01X,Nitrofurantoin Macrocrystal,Nitrofurantoin (Macrodantin)
00006351935,S01E,Dorzolamide 2% Ophth. Soln.,Dorzolamide 2% Ophth. Soln.
59762503001,J02A,Fluconazole,Fluconazole Suspension
54569022500,N06A,Nortriptyline,Nortriptyline HCl
00085093381,R03D,Theophylline SR,Theophylline SR
00338068304,B05B,Potassium Chl 20 mEq / 1000 mL D5W,N/A
00049397041,N05A,Ziprasidone,Ziprasidone
00904578561,N06A,Fluoxetine,Fluoxetine
00049398041,N05A,Ziprasidone Hydrochloride,Ziprasidone Hydrochloride
60505082306,H05B,Calcitonin Salmon,Calcitonin Salmon Nasal
50458092010,J01M,Levofloxacin,Levofloxacin
00019481604,N/A,Gastroview (Diatrizoate Meglumine & Sodium),Gastroview (Diatrizoate Meglumine & Sodium)
00049396041,N05A,Ziprasidone Hydrochloride,Ziprasidone Hydrochloride
00310037951,J01D,Cefotetan,N/A
67386050152,N05C,Pentobarbital Sodium,N/A
63010002770,J05A,Nelfinavir Mesylate,NelFINavir Mesylate
51079020020,C02A,Methyldopa,Methyldopa
00006362803,S01E,Dorzolamide 2%/Timolol 0.5% Ophth.,Dorzolamide 2%/Timolol 0.5% Ophth.
00078031154,H05B,Calcitonin Salmon,Calcitonin Salmon Nasal
00548604325,N02A,Morphine Sulfate,N/A
54868365200,P01B,Quinine Sulfate,Quinine Sulfate
24385080701,A12C,Magnesium Sulfate,Epsom Salt
00555059001,J05A,Didanosine EC,Didanosine EC
00597004661,J05A,Nevirapine,Nevirapine
00591321901,N02B,Aspirin-Caffeine-Butalbital,Aspirin-Caffeine-Butalbital
00904213761,B03A,Ferrous Gluconate,Ferrous GLUCONATE
55045213405,D03B,Collagenase Ointment,Collagenase Ointment
00186013501,C01B,Lidocaine 0.5%,Lidocaine 0.5%
00264780020,B05X,NS (Excel),N/A
00173036238,A02B,Ranitidine,N/A
50383082316,J01E,Sulfamethoxazole/Trimethoprim,Sulfamethoxazole/Trimethoprim
00008070401,N06A,Venlafaxine,Venlafaxine
60793058110,N01A,Ketamine HCl,Ketamine HCl
00048580501,C09A,Trandolapril,Trandolapril
00944058101,N/A,Proplex T,Factor 9 Complex
00299383545,D06B,Metronidazole 0.75%,Metronidazole 0.75%
00378912498,N02A,Fentanyl Patch,Fentanyl Patch
00173059500,J05A,Lamivudine-Zidovudine (Combivir),Lamivudine-Zidovudine (Combivir)
00378912198,N02A,Fentanyl Patch,Fentanyl Patch
57706075423,S01E,Acetazolamide,Acetazolamide
00173040000,J01D,Cefuroxime Sodium,N/A
00008033901,J07A,Tetanus Toxoid Adsorbed,Tetanus Toxoid Adsorbed
00149075202,A07E,Mesalamine,Mesalamine DR
00045009569,A09A,Pancrease,Pancrease
00049317030,J02A,Voriconazole,Voriconazole
54569405200,D06A,Mupirocin Cream 2%,Mupirocin Ointment 2%
39506002260,N04B,Selegiline HCl,Selegiline HCl
00093528401,N04B,Ropinirole,Ropinirole
00004196201,J01D,Ceftriaxone,CefTRIAXone
00409780922,C01C,DopAmine,N/A
66591093142,N02A,Oxycodone,Oxycodone
50458030101,N05A,Risperidone,Risperidone
00173044902,N02C,Sumatriptan Succinate,Sumatriptan Succinate
00074492134,C01C,Epinephrine HCl,Epinephrine-Sodium Chloride
00078032406,N06D,Exelon,*NF* Rivastigmine Tartrate
00310028239,N05A,Quetiapine extended-release,Quetiapine extended-release
38779057808,N/A,Metoprolol,Metoprolol
54092017312,N03A,Carbamazepine ER,Carbamazepine ER
68115017430,N05B,HydrOXYzine HCl,HydrOXYzine HCl
55289078860,R03D,Theophylline (Slo-bid) Capsule,Theophylline (Slo-bid) Capsule
54092025390,V03A,Lanthanum,Lanthanum
00338003003,V06D,Dextrose 20% in Water (D20W),N/A
00015300220,N/A,Mitomycin,N/A
00054884816,R03D,Theophylline (Oral Solution),Theophylline (Oral Solution)
00182027124,A06A,Glycerin Supps,Glycerin Supps
00078032306,N06D,Rivastigmine,*NF* Rivastigmine Tartrate
00024135301,R01A,Phenylephrine  0.05% Nasal Spray,Phenylephrine  0.05% Nasal Spray
00409419701,J01F,Clindamycin,N/A
68135045502,H02A,PrednisoLONE Oral Solution,PrednisoLONE Oral Solution
00074471302,C01B,Lidocaine 1%,Lidocaine 1%
52604710001,B02B,Thrombin,Thrombin Topical
61570004935,S03A,Bacitracin/Polymyxin B Sulfate Opht. Oint,Bacitracin/Polymyxin B Sulfate Opht. Oint
55390011301,C04A,Phentolamine Mesylate,Phentolamine Mesylate
00186011201,C01B,Lidocaine 1% (Buffered),Lidocaine 1% (Buffered)
00004050109,L04A,Daclizumab,N/A
00074329406,B05X,Potassium Acetate,N/A
00310075139,C10A,Rosuvastatin Calcium,Rosuvastatin Calcium
51079078320,N04B,Carbidopa-Levodopa (25-250),Carbidopa-Levodopa (25-250)
54569101800,A07A,NEO*PO*Nystatin Suspension,NEO*PO*Nystatin Suspension
00049344019,J02A,NEO*PO*Fluconazole,NEO*PO*Fluconazole
65473070401,N07A,Bethanechol,Bethanechol
24385013395,N/A,Aveeno Bath,Aveeno Colloidal
00025146134,A02B,Misoprostol,Misoprostol
00009085608,G02A,Hemabate,Carboprost Tromethamine
54569188401,N/A,Oxytocin,Pitocin
00078005303,N/A,Methylergonovine Maleate,Methylergonovine Maleate
00078005406,G02A,Methylergonovine Maleate,Methylergonovine Maleate
00023218105,S01B,Acular,*NF* Ketorolac 0.5% Ophth Soln
00003063441,J01C,NEO*IV*Penicillin G Potassium,N/A
00591319101,N07A,Pyridostigmine Bromide,Pyridostigmine Bromide
00054485906,N05C,triaz,*NF* Triazolam
00168008130,D07C,Nystatin-Triamcinolone,Nystatin/Triamcin
00168021560,D10A,Erythromycin,*NF* Erythromycin 2% Topical Soln
00093026215,C05A,Fluocinonide 0.05% Cream,Fluocinonide 0.05% Cream
24477032302,C08C,NiCARdipine IV,N/A
00071053040,C09A,Quinapril,Quinapril
62584075101,N06A,Imipramine HCl,Imipramine HCl
00093874001,C01B,Mexiletine,Mexiletine
49281037215,N/A,Influenza Virus Vaccine,Influenza Virus Vaccine
51079075520,N04B,Carbidopa-Levodopa (10-100),Carbidopa-Levodopa (10-100)
50458030104,N05A,Risperidone,Risperidone
00186103201,N01B,Bupivacaine 0.25%-Epinephrine,Bupivacaine 0.25%-Epinephrine
45802073233,N02B,NEO*PR*Acetaminophen,NEO*PR*Acetaminophen
54868229700,C01D,Isosorbide Dinitrate,Isosorbide Dinitrate
51079080820,A02B,Cimetidine,Cimetidine
54569468300,N/A,Cefepime,N/A
00074206605,C01B,Lidocaine 1%,Lidocaine 1%
00029485220,M01A,Nabumetone,Nabumetone
58768088115,S01G,Naphazoline-Antazoline,Naphazoline-Antazoline
00009045003,C10A,Colestipol,*NF* Colestipol HCl
00517540205,C08D,Verapamil HCl,Verapamil HCl
00002841501,N/A,Insulin,Insulin Human Lente
00024134803,R01A,NEO*NASAL*Phenylephrine 0.125%,NEO*NASAL*Phenylephrine 0.125%
00173026427,C01A,NEO*PO*Digoxin Elixer,NEO*PO*Digoxin Elixer
17314960001,L01D,Doxorubicin HCl Liposomal,N/A
63323073101,A11C,Calcitriol,Calcitriol
65597070118,C10A,Colesevelam,*NF* Colesevelam HCl
00173057000,A04A,Zofran,*NF* Ondansetron ODT
00173044600,A04A,Ondansetron,*NF* Ondansetron HCl
17317038904,N/A,Orange Oil,Orange Oil
00904292461,C08D,Verapamil,Verapamil
63395010105,S02A,Floxin,*NF* Ofloxacin 0.3% OTIC
00904597361,N05A,Risperidone,Risperidone
60505258500,N05A,Risperidone,Risperidone
50580029304,A07D,Loperamide HCl,*NF* Loperamide Suspension
00536138912,N/A,Hemorrhoidal Suppository,Hemorrhoidal Suppository
55390061320,J05A,Acyclovir Sodium,N/A
00206845455,J01C,Piperacillin-Tazobactam Na,N/A
00173023044,N/A,Digoxin Immune Fab,Digoxin Immune Fab
00703505401,H01B,Desmopressin Acetate,Desmopressin Acetate
63739026915,L02B,Tamoxifen Citrate,Tamoxifen Citrate
49281024010,N/A,Mumps Skin Test,N/A
38697601501,N/A,Candida Skin Test,Candida Albicans
51079048101,N04B,Amantadine,Amantadine
00054853416,A07D,Loperamide HCl,Loperamide HCl
11098050701,D01A,Cyanide Antidote,Cyanide Antidote Package
59676032001,B03X,Epoetin Alfa,N/A
00015733912,J01D,Cefazolin,N/A
00024414260,C01B,Dronedarone,Dronedarone
00998020315,S01E,Pilocarpine 1%,Pilocarpine 1%
00008001901,R06A,Promethazine HCl,Promethazine HCl
62037069790,C08D,Diltiazem Extended-Release,Diltiazem Extended-Release
51079054320,N06A,Escitalopram Oxalate,Escitalopram Oxalate
51079092820,C07A,Labetalol,Labetalol
24208050510,S01E,Levobunolol 0.5%,Levobunolol 0.5%
00998020615,S01E,Pilocarpine 4%,Pilocarpine 4%
00168002738,S03A,Neomycin-Polymyxin-Bacitracin Ophth. Oint,Neomycin-Polymyxin-Bacitracin Ophth. Oint
00089030510,C01B,Flecainide Acetate,Flecainide Acetate
61703024615,N02A,Hydromorphone P.F.,N/A
58160087646,N/A,Influenza Virus Vaccine,Influenza Virus Vaccine
00904336561,M03B,Baclofen,Baclofen
00299383528,D06B,Metronidazole 0.75%,Metronidazole 0.75%
00409909422,N01A,Fentanyl Citrate,Fentanyl Citrate
52959045230,R06A,Claritin,*NF* Loratadine
00703441211,L01C,VinCRIStine (Oncovin),N/A
38779003504,N/A,Methotrexate Sodium,N/A
00009376103,J05A,Delavirdine Mesylate,Delavirdine Mesylate
00574012008,A07B,Charcoal-Sorbitol,Charcoal-Sorbitol
61113074228,A02B,Omeprazole,Omeprazole
00338055311,B05X,NS (Mini Bag Plus),N/A
00074227913,C09A,Trandolapril,Trandolapril
00087057202,R05C,Acetylcysteine (IV),N/A
16500002322,B02B,Domeboro,Calcium Acetate/Al Sulfate
00182090401,G04B,Phenazopyridine HCl,Phenazopyridine HCl
00597006761,C01B,Mexiletine HCl,Mexiletine HCl
00536435805,C01B,Procainamide SR,Procainamide SR
51079010220,C01B,Procainamide HCl,Procainamide HCl
00039022211,A10B,Amaryl,*NF* Glimepiride
00078038725,M05B,Zoledronic Acid,N/A
59730839901,N/A,Hepatitis B Immune Globulin (Nabi-HB),N/A
00071053523,C09A,Quinapril,Quinapril
17478028712,S01E,Levobunolol Hcl 0.5%,Levobunolol Hcl 0.5%
51079037420,N05B,Chlordiazepoxide HCl,Chlordiazepoxide HCl
00054881755,V04C,Sodium Polystyrene Sulfonate,Sodium Polystyrene Sulfonate
00078024915,L02B,Femara,*NF* Letrozole
50242013460,L01X,Trastuzumab,N/A
00004110116,L01B,*NF* Capecitabine,*NF* Capecitabine
00186429100,A11C,Vitamin A,Vitamin A
54569272600,N06A,Imipramine HCl,Imipramine HCl
51079048620,N05A,Fluphenazine,Fluphenazine
63323028110,N05A,Fluphenazine,N/A
00046047199,C07A,Propranolol LA,Propranolol LA
00173095396,J05A,Acyclovir,Acylovir Suspension
00029608621,J01C,Amoxicillin-Clavulanic Acid,Amoxicillin-Clavulanic Acid
50484052730,D03B,Collagenase Ointment,Collagenase Ointment
00087607411,A10B,Glucovance (5mg-500mg),Glyburide/Metformin (5mg-500mg)
51079065720,R03C,Albuterol,Albuterol
00023024001,N/A,Lacri-Lube Oint,Lacri-Lube Oint. Preserv. Free
52604710403,B02B,Thrombin,Thrombin Topical
00005921823,J01A,Demeclocycline,*NF* Demeclocycline
00409653301,J01X,Vancomycin,N/A
00206885416,J01C,Piperacillin-Tazobactam Na,N/A
51079084020,J01E,Sulfadiazine,Sulfadiazine
50458039660,N06D,Razadyne,*NF* Galantamine
00173019892,S03A,Neomycin-Polymyxin-HC (Otic),Cortisporin Otic Susp
59676034001,B03X,Epoetin Alfa,N/A
51079006820,B01A,Dipyridamole,Dipyridamole
63010001027,J05A,Nelfinavir Mesylate,Nelfinavir Mesylate
00007313116,J01D,Cefazolin,N/A
63857032810,N05B,Oxazepam,Oxazepam
10019007002,C01C,Milrinone Lactate,N/A
54868311105,J01C,Ampicillin,AMPicillin
00074428202,C01B,Lidocaine 2%,Lidocaine 2%
00904591361,N06A,BuPROPion,BuPROPion
00015321230,L01X,Carboplatin,N/A
10019004502,A02B,Famotidine (IV),N/A
00591315901,A05A,Ursodiol,Ursodiol
51079041520,N/A,Calcium Carbonate,Calcium Carbonate
00066043115,D10A,Benzoyl Peroxide Gel 10%,Benzoyl Peroxide Gel 10%
59762308001,J01F,Azithromycin,Azithromycin
00075245153,H01B,Desmopressin Acetate,Desmopressin Acetate
00078001715,G02C,Bromocriptine Mesylate,Bromocriptine Mesylate
00641041025,B01A,Heparin,Heparin Sodium
00074567304,N/A,Hydrocortisone Na Succinate,N/A
00904565261,G04C,Terazosin,Terazosin
00406048462,N02A,Acetaminophen w/Codeine,Acetaminophen w/Codeine
00054372144,H02A,PredniSONE,Prednisone Intensol
00781210401,L04A,Tacrolimus,Tacrolimus
00781210301,L04A,Tacrolimus,Tacrolimus
51079089020,J04A,Rifampin,Rifampin
00555090201,N07B,naltrexone,*NF* Naltrexone
51079052020,D11A,Finasteride,Finasteride
51079042420,B01A,cilostazol,*NF* Cilostazol
00002756101,B01A,Drotrecogin Alfa (Xigris),N/A
00004018809,M05B,Boniva,*NF* Ibandronate
00003173840,J01C,Amoxicillin Oral Susp.,Amoxicillin Oral Susp.
00338004910,B05X,NS,N/A
50458039060,N06D,Galantamine Hydrobromide,*NF* Galantamine
00904105661,N04A,Benztropine Mesylate,Benztropine Mesylate
67159011203,C01E,Ranolazine,*NF* Ranolazine ER
60793011601,H03A,Liothyronine Sodium,Liothyronine Sodium
00536391801,A03B,L-Hyoscyamine,L-Hyoscyamine
00904553561,M01A,Naproxen,Naproxen
00054352763,N05A,Lithium Citrate (Syrup),Lithium Citrate (Syrup)
00409427001,C01B,Lidocaine 1% P.F.,N/A
00056052168,N04B,Carbidopa-Levodopa CR (50-200),Carbidopa-Levodopa CR (50-200)
51079043720,N06A,Doxepin HCl,Doxepin HCl
00591079601,A07E,SulfaSALAzine,SulfaSALAzine
00406112101,N06B,Methylphenidate,Methylphenidate
00703005104,H02A,Methylprednisolone Acetate,Methylprednisolone Acetate
52604512501,H03A,Levoxyl,*NF* Levothyroxine ( Levoxyl)
54868370400,G03B,Testosterone 2.5mg Patch,Testosterone 2.5mg Patch
55390011405,L01C,Paclitaxel,N/A
00409217205,N02A,HYDROmorphone-HP,N/A
59148000813,N05A,Aripiprazole,Aripiprazole
00264780010,B05X,NS (Excel),N/A
54569198900,R03A,Albuterol,Albuterol 0.5%
10019002902,M01A,Ketorolac,Ketorolac
00087060942,C09A,Monopril,Fosinopril Sodium
00472120006,N02B,Acetaminophen (Childrens),Acetaminophen (Childrens)
10019017844,N02A,NEO*IV*Morphine Sulfate,NEO*IV*Morphine Sulfate
00087015846,C09A,Monopril,Fosinopril Sodium
50458022001,H02C,Ketoconazole,Ketoconazole
54569439800,N/A,Tetanus Immune Globulin,Tetanus Immune Globulin
00641061025,A11D,Thiamine HCl,Thiamine HCl
66993000860,B01A,Cilostazol,*NF* Cilostazol
00310070539,L02B,Casodex,*NF* Bicalutamide
00186074382,A02B,Omeprazole,*NF* Omeprazole
10038011734,N/A,Kaolin/Pectin,Kaolin/Pectin
00781570192,C09C,Losartan Potassium,Losartan Potassium
00006351903,S01E,Dorzolamide 2% Ophth. Soln.,Dorzolamide 2% Ophth. Soln.
61570017261,C05A,Anusol-HC Suppository,Hydrocortisone Acetate Suppository
55390010110,R03C,Terbutaline Sulfate,Terbutaline Sulfate
00904420260,A11H,Niacin,*NF* Niacinamide
00904227260,A05A,Niacin,*NF* Niacin
00182441801,A05A,*NF* Niacin,Nicotinic Acid SR
00015347530,L01C,Paclitaxel,N/A
00015321530,L01X,Carboplatin,N/A
00228263111,C01D,Isosorbide Mononitrate,Isosorbide Mononitrate
00009076004,J01F,Clindamycin,Clindamycin Suspension
51079006001,C03A,Chlorothiazide,Chlorothiazide
50458032001,N05A,Risperidone,Risperidone
00186011291,C01B,Lidocaine 1% P.f.,Lidocaine 1% P.F.
00032449201,N05A,Lithium Carbonate,Lithium Carbonate SR
60505258600,N05A,Risperidone,Risperidone
60951065616,N04B,Amantadine Syrup,Amantadine Syrup
50458030510,N05A,Risperidone Oral Solution,Risperidone Oral Solution
00245018101,N03A,Divalproex (DELayed Release),Divalproex (DELayed Release)
00245018201,N03A,Divalproex (DELayed Release),Divalproex (DELayed Release)
58177088601,N02A,NEO*PO*Morphine,NEO*PO*Morphine
00781304095,N07A,Pyridostigmine Bromide,Pyridostigmine Bromide
00364290861,J01C,Penicillin G Potassium,N/A
10019087315,V04C,Edrophonium Chloride,Edrophonium Chloride
00173045900,N02C,Sumatriptan Succinate,*NF* Sumatriptan
00409141005,C01C,Isoproterenol,N/A
12136000910,N/A,Epinephrine Inhalation,Epinephrine Inhalation
00168000815,D01A,Tolnaftate 1% Cream,Tolnaftate 1% Cream
00245002322,N/A,Lactic Acid 12% Lotion,Lactic Acid 12% Lotion
00085173302,J01M,Moxifloxacin,*NF* Moxifloxacin
00007336344,N05A,Prochlorperazine Edisylate,Prochlorperazine Edisylate
67546011132,P01A,Nitazoxanide,*NF* Nitazoxanide
00093528201,N04B,Ropinirole,Ropinirole
51079094420,N06A,BuPROPion,BuPROPion
50458030503,N05A,Risperidone,Risperidone Oral Solution
00093015506,N03A,Topiramate (Topamax),Topiramate (Topamax)
00409669501,N01A,Etomidate,Etomidate
00074381901,N02A,Morphine Sulfate,Morphine Sulfate
00074568113,N03A,Valproic Acid,Valproic Acid
00281032608,C05A,Nitroglycerin Ointment  2%,Nitroglycerin Ointment  2%
00245014701,C01B,Amiodarone,Amiodarone
00049053028,J01C,Penicillin G Potassium,N/A
00009307303,H02A,Methylprednisolone ACETATE,Methylprednisolone ACETATE
54868255700,N05A,Lithium Carbonate CR (Eskalith),Lithium Carbonate CR (Eskalith)
63020004901,L01X,Bortezomib,N/A
63323001115,J01B,Chloramphenicol Na Succ,N/A
00173069604,R03B,Fluticasone-Salmeterol Diskus (250/50) ,Fluticasone-Salmeterol Diskus (250/50) 
00032192482,A07E,Mesalamine Enema,Mesalamine Enema
49884072401,L01X,Hydroxyurea,Hydroxyurea
00091353701,A03B,Hyoscyamine SO4 (Time Release),Hyoscyamine SO4 (Time Release)
00536440601,A05B,Pyridoxine HCl,Pyridoxine HCl
00075062161,B01A,Enoxaparin Sodium,Enoxaparin Sodium
00091415060,A11C,NEO*PO*Ergocalciferol,NEO*PO*Ergocalciferol
55289075130,R03D,Theophylline (Slo-bid) Capsule,Theophylline (Slo-bid) Capsule
00049399041,N05A,Ziprasidone,Ziprasidone
00054808425,L04A,Azathioprine,Azathioprine
51079076708,N03A,Divalproex (EXTended Release),Divalproex (EXTended Release)
00075245201,H01B,Desmopressin Nasal,Desmopressin Nasal
66993084225,H02A,Methylprednisolone,MethylPREDNISolone
51079003920,A06A,Docusate Sodium-Casanthranol,Docusate Sodium-Casanthranol
00003010150,J01C,Amoxicillin,Amoxicillin Trihydrate
00781940895,J01C,Ampicillin Sodium,N/A
63323010510,J05A,Acyclovir,N/A
00065064725,S01C,Tobramycin-Dexamethasone Ophth Susp,Tobramycin-Dexamethasone Ophth Susp
00904062960,A05A,Niacin SR,Niacin SR
00172571010,A10B,Glyburide/Metformin (1.25mg-250mg),Glyburide/Metformin (1.25mg-250mg)
67386051151,C01E,NEO*IV*Indomethacin Sodium,N/A
00026286148,A10B,Acarbose,Acarbose
00536479301,A11H,Vitamin E,Vitamin E
68094019361,N03A,Valproic Acid,Valproic Acid
51079028620,N05B,Diazepam,Diazepam
00703904003,J01G,Amikacin,N/A
00078005405,G02A,Methylergonovine Maleate,Methylergonovine Maleate
00905180410,J01X,Metronidazole,N/A
00029152544,D06A,Mupirocin Ointment 2%,Mupirocin Ointment 2%
57706075323,S01E,Acetazolamide,Acetazolamide
54868175201,H03B,Propylthiouracil,Propylthiouracil
59366274201,D10A,Benzoyl Peroxide,*NF* Benzoyl Peroxide 2.5% Gel
00074614309,N/A,Acetic Acid 0.25% Irrig. Soln,Acetic Acid 0.25% Irrig. Soln
55390056090,C01C,DOBUTamine,N/A
55390009110,L01C,VinBLAStine (Velban),N/A
00054368263,N02A,Oxycodone,Oxycodone Liquid
55390060502,M04A,Colchicine,N/A
00025152031,L01X,Celebrex,*NF* Celecoxib
00008039004,J01C,Penicillin V Potassium,Penicillin V Potassium
51672125802,D07A,Clobetasol Propionate 0.05% Cream,Clobetasol Propionate 0.05% Cream
00046110081,G03C,Estrogens Conjugated,Estrogens Conjugated
00093026292,C05A,Fluocinonide 0.05% Cream,Fluocinonide 0.05% Cream
00013258691,L01D,Idarubicin HCl,N/A
50458030611,N05A,Risperidone Long Acting Injection,Risperidone Long Acting Injection
63323042405,V03A,Flumazenil,Flumazenil
00300334601,L02A,Leuprolide Acetate,Leuprolide Acetate
00009766304,L02B,Aromasin,*NF* Exemestane
00078045735,N03A,Oxcarbazepine,Oxcarbazepine
51079009120,M03B,Methocarbamol,Methocarbamol
54569041702,A03A,Dicyclomine,Dicyclomine HCl
00182121301,P01B,Quinine Sulfate,*NF* Quinine Sulfate
00168014630,C05A,Hydrocortisone Oint 2.5%,Hydrocortisone Oint 2.5%
00008005910,J01C,Penicillin V Potassium,Penicillin V Potassium
00088120343,A04A,Dolasetron Mesylate,Dolasetron Mesylate
58016074000,C01B,Mexiletine HCl,Mexiletine HCl
00597002901,M01A,Mobic,*NF* Meloxicam
00015798120,J01C,Oxacillin Desensitization,N/A
13533063603,J06B,Hepatitis B Immune Globulin (Bayhep B),Hepatitis B Immune Globulin (Bayhep B)
54569452500,N/A,Methotrexate Sodium,N/A
61570003310,S03A,cortisporin,Cortisporin Otic Susp
51079000920,A05A,Niacin,Nicotinic Acid
50242013468,L01X,Trastuzumab,N/A
60976059871,L04A,Azathioprine Sodium,N/A
00299382045,D06B,MetronidAZOLE Topical 1 % Gel,MetronidAZOLE Topical 1 % Gel
00054335050,N05A,Haloperidol,Haloperidol Concentrate
00121058104,N05A,Haloperidol,Haloperidol Concentrate
00074454102,V03A,Leucovorin Calcium,N/A
00004691206,V03A,Flumazenil,Flumazenil
00008070101,N06A,Venlafaxine,Venlafaxine
51079055620,A11H,Pyridoxine HCl,Pyridoxine Hcl
00049350079,J02A,Fluconazole,Fluconazole
00009023301,J01X,Bacitracin,Bacitracin
39822010001,N/A,Polymyxin B Sulfate,Polymyxin B Sulfate
62161000538,L01A,Busulfan,N/A
53014083572,C03B,Metolazone,Metolazone
54569466100,N/A,Aveeno Bath,Aveeno Colloidal
00072810015,C05A,Hydrocortisone Val. Cream 0.2%,Hydrocortisone Val. Cream 0.2%
00009037301,L01B,Cytarabine,N/A
50458032006,N05A,Risperidone,Risperidone
54868416700,A03F,Metoclopramide,Metoclopramide
00078035834,C09C,Valsartan,Valsartan
00364737672,S01F,Phenylephrine 2.5 %,Phenylephrine 2.5 %
00002416530,G03X,Raloxifene,*NF* Raloxifene
00409468823,J02A,Fluconazole,N/A
58914050056,A07E,Mesalamine (Rectal),Mesalamine (Rectal)
57844052206,L01B,Mercaptopurine,Mercaptopurine
00046087293,G03C,Estrogens Conjugated,Estrogens Conjugated Vaginal
63323073310,V03A,Mesna,N/A
49643013801,N/A,Candida Skin Test,Candida Albicans
50419035510,L04A,Alemtuzumab,N/A
64116003106,L03A,*NF* Interferon Alfacon-1,*NF* Interferon Alfacon-1
50419051106,L01B,Fludarabine Phosphate,N/A
00044502210,C01B,Propafenone HCl,Propafenone HCl
54868252200,L03A,Filgrastim,N/A
00185075710,J01E,Sulfadiazine,SulfADIAZINE
00085138507,J05A,Ribavirin,Ribavirin
50419010111,C01B,Quinidine Gluconate,Quinidine Gluconate
00185077130,C07A,Bisoprolol Fumarate,*NF* Bisoprolol Fumarate
00585067502,R03B,Cromolyn Sodium,Cromolyn Sodium
00074307331,C01C,Ephedrine Sulfate (Pressors),Ephedrine Sulfate
00944262004,J06B,Gammagard S/D,N/A
00781137113,C07A,Metoprolol,Metoprolol
00409614309,N/A,Acetic Acid 0.25% Irrig. Soln,Acetic Acid 0.25% Irrig. Soln
55390003110,L01B,Methotrexate Sodium,N/A
59762502601,N03A,Gabapentin,Gabapentin
10267146501,B03A,Iron Polysaccharides Complex,Iron Polysaccharides Complex
00003515406,C10A,Pravastatin,Pravastatin
00469520230,D11A,Protopic,*NF* Tacrolimus 0.1% Ointment
63323013011,J01A,Doxycycline Hyclate,N/A
51079006920,B01A,Dipyridamole,Dipyridamole
00703485211,L01B,Fludarabine Phosphate,N/A
00469325010,J02A,*NF* Micafungin,N/A
00007351920,N06B,Dextroamphetamine,Dextroamphetamine
00168000380,D07A,Triamcinolone Acetonide 0.025% Cream,Triamcinolone Acetonide 0.025% Cream
67211010201,L01B,Azacitidine,N/A
67286005308,L01A,Busulfan,N/A
00008451001,L01X,Gemtuzumab Ozogamicin,N/A
58063060050,L01B,Decitabine,N/A
00178061001,A12B,Urocit-K 10,*NF* Potassium Citrate
00078035680,A06A,Zelnorm,*NF* Tegaserod
00904517416,R06A,Diphenhydramine HCl,Diphenhydramine HCl
00395224391,C05A,Peppermint Oil,Peppermint Spirit
00068051030,J04A,Rifampin,Rifampin
00409427701,C01B,Lidocaine 2%,Lidocaine 2%
00781178513,M01A,Diclofenac Sodium,Diclofenac Sodium CR
00006778433,B02B,NEO*SC*Phytonadione,NEO*SC*Phytonadione
00641254745,M03A,Pancuronium Bromide,Pancuronium Bromide
00338101741,J01C,Nafcillin,N/A
00517113001,C01C,Epinephrine 1:1000,Epinephrine 1:1000
39822041206,J01G,Tobramycin Sulfate,N/A
52544093102,N/A,Iron Dextran (Test Dose),N/A
00078018325,H01C,Octreotide Acetate,N/A
00054355663,N07B,Methad,Methadone Oral Liquid
00781144113,N05C,tria,*NF* Triazolam
00054319446,A03B,Diphenoxylate-Atropine,Diphenoxylate HCl/Atrop Sulf
00074190201,C01B,Procainamide HCl,Procainamide HCl
00085057502,C05A,Betamethasone Dipro 0.05% Cream,Betamethasone Dipro 0.05% Cream
54569146000,N/A,Tetanus-Diphtheria Toxoids-Td,Diphtheria Toxoid-Tetanus Tox
00009035201,A10B,Glyburide Prestab,Glyburide Prestab
00074712613,N03A,Divalproex Sodium ER,Divalproex Sodium ER
00781104801,N05A,Perphenazine,Perphenazine
54569170102,N06A,Desipramine HCl,Desipramine HCl
00009752901,L01C,Irinotecan HCl,N/A
10019025012,A03B,Atropine Sulfate,Atropine Sulfate
54868308400,A04A,Dronabinol,Dronabinol
00007550040,P02C,Albendazole,*NF* Albendazole
59730560101,M04A,*NF* Allopurinol Sodium,N/A
00169008181,A10B,Repaglinide,Repaglinide
00072254006,D05A,Calcipotriene 0.005% Oint,Calcipotriene 0.005% Oint
51079082020,N03A,LeVETiracetam,LeVETiracetam
00904600161,N03A,LeVETiracetam,LeVETiracetam
00173045301,R03B,Flonase,*NF* Fluticasone Propionate Nasal
